,variable,accuracy,simulation
865,65,0.25,9
866,66,0.43,9
867,67,0.23,9
868,68,0.44,9
869,69,0.37,9
870,70,0.4,9
871,71,0.33,9
872,72,0.31,9
873,73,0.28,9
874,74,0.32,9
875,75,0.21,9
876,76,0.39,9
877,77,0.28,9
878,78,0.4,9
879,79,0.33,9
880,80,0.43,9
881,81,0.35,9
882,82,0.34,9
883,83,0.4,9
884,84,0.2,9
885,85,0.42,9
886,86,0.38,9
887,87,0.39,9
888,88,0.26,9
889,89,0.39,9
890,90,0.36,9
