,workers,accuracy,simulation
686,70,0.22,8
687,71,0.22,8
688,72,0.27,8
689,73,0.36,8
690,74,0.31,8
691,75,0.31,8
692,76,0.26,8
693,77,0.32,8
694,78,0.26,8
695,79,0.19,8
696,80,0.32,8
697,81,0.35,8
698,82,0.3,8
699,83,0.26,8
700,84,0.31,8
701,85,0.22,8
702,86,0.32,8
703,87,0.29,8
704,88,0.28,8
705,89,0.26,8
706,90,0.32,8
707,91,0.23,8
708,92,0.26,8
709,93,0.28,8
710,94,0.29,8
711,95,0.22,8
712,96,0.21,8
713,97,0.2,8
714,98,0.35,8
715,99,0.24,8
716,15,0.25,9
717,20,0.21,9
718,21,0.34,9
719,23,0.13,9
720,24,0.25,9
721,25,0.25,9
722,26,0.28,9
723,27,0.21,9
724,28,0.21,9
725,29,0.38,9
726,30,0.23,9
727,31,0.27,9
728,32,0.33,9
729,33,0.27,9
730,34,0.2,9
731,35,0.33,9
732,36,0.25,9
733,37,0.25,9
734,38,0.24,9
735,39,0.22,9
736,40,0.27,9
737,41,0.24,9
738,42,0.28,9
739,43,0.29,9
740,44,0.33,9
741,45,0.27,9
742,46,0.17,9
743,47,0.24,9
744,48,0.19,9
745,49,0.21,9
746,50,0.33,9
747,51,0.36,9
748,52,0.31,9
749,53,0.21,9
750,54,0.36,9
751,55,0.28,9
752,56,0.25,9
753,57,0.3,9
754,58,0.27,9
755,59,0.32,9
756,60,0.25,9
757,61,0.31,9
758,62,0.23,9
759,63,0.28,9
760,64,0.31,9
761,65,0.24,9
762,66,0.25,9
763,67,0.26,9
764,68,0.15,9
765,69,0.17,9
766,70,0.3,9
767,71,0.31,9
768,72,0.27,9
769,73,0.29,9
770,74,0.16,9
771,75,0.25,9
772,76,0.3,9
773,77,0.26,9
774,78,0.27,9
775,79,0.29,9
776,80,0.25,9
777,81,0.29,9
778,82,0.24,9
779,83,0.28,9
780,84,0.26,9
781,85,0.19,9
782,86,0.35,9
783,87,0.17,9
784,88,0.28,9
785,89,0.37,9
786,90,0.25,9
787,91,0.25,9
788,92,0.22,9
789,93,0.21,9
790,94,0.22,9
791,95,0.22,9
792,96,0.24,9
793,97,0.3,9
794,98,0.31,9
795,99,0.23,9
796,18,0.15,10
797,19,0.15,10
798,21,0.24,10
799,23,0.2,10
800,24,0.19,10
801,25,0.22,10
802,27,0.28,10
803,28,0.33,10
804,29,0.22,10
805,30,0.27,10
806,31,0.28,10
807,32,0.38,10
808,33,0.25,10
809,34,0.32,10
810,35,0.3,10
811,36,0.16,10
812,37,0.21,10
813,38,0.24,10
814,39,0.19,10
815,40,0.27,10
816,41,0.29,10
817,42,0.27,10
818,43,0.24,10
