total_tasks,total_workers,proportion_hard_tasks,proportion_train_tasks,workers_per_task,total_keys,accuracy
100,30,0.4,0.6,5,5,0.96
100,30,0.4,0.6,5,7,0.978
100,30,0.4,0.6,7,3,0.0
100,30,0.4,0.6,7,5,0.9757
100,30,0.4,0.6,7,7,0.0
100,30,0.6,0.4,3,3,0.96
100,30,0.6,0.4,3,5,0.94
100,30,0.6,0.4,3,7,0.9733
100,30,0.6,0.4,5,3,0.944
100,30,0.6,0.4,5,5,0.962
100,30,0.6,0.4,5,7,0.964
100,30,0.6,0.4,7,3,0.9514
100,30,0.6,0.4,7,5,0.97
100,30,0.6,0.4,7,7,0.9471
100,30,0.6,0.6,3,3,0.94
100,30,0.6,0.6,3,5,0.9733
100,30,0.6,0.6,3,7,0.9733
100,30,0.6,0.6,5,3,0.96
100,30,0.6,0.6,5,5,0.95
100,30,0.6,0.6,5,7,0.95
100,30,0.6,0.6,7,3,0.0
100,30,0.6,0.6,7,5,0.9543
100,30,0.6,0.6,7,7,0.9629
100,30,0.8,0.4,3,3,0.9433
100,30,0.8,0.4,3,5,0.92
100,30,0.8,0.4,3,7,0.9467
100,30,0.8,0.4,5,3,0.966
100,30,0.8,0.4,5,5,0.978
100,30,0.8,0.4,5,7,0.966
100,30,0.8,0.4,7,3,0.9414
100,30,0.8,0.4,7,5,0.9571
100,30,0.8,0.4,7,7,0.9786
100,30,0.8,0.6,3,3,0.95
100,30,0.8,0.6,3,5,0.9767
100,30,0.8,0.6,3,7,0.96
100,30,0.8,0.6,5,3,0.954
100,30,0.8,0.6,5,5,0.944
100,30,0.8,0.6,5,7,0.948
100,30,0.8,0.6,7,3,0.9457
100,30,0.8,0.6,7,5,0.98
100,30,0.8,0.6,7,7,0.9686
100,40,0.2,0.4,3,3,0.9333
100,40,0.2,0.4,3,5,0.95
100,40,0.2,0.4,3,7,0.98
100,40,0.2,0.4,5,3,0.97
100,40,0.2,0.4,5,5,0.966
100,40,0.2,0.4,5,7,0.988
