total_tasks,total_workers,proportion_hard_tasks,proportion_train_tasks,workers_per_task,total_keys,accuracy
60,50,0.2,0.8,9,3,0.9481
60,50,0.2,0.8,9,5,0.9556
60,50,0.2,0.8,9,7,0.9556
60,50,0.2,0.8,11,3,0.0
60,50,0.2,0.8,11,5,0.9652
60,50,0.2,0.8,11,7,0.9667
60,50,0.4,0.2,3,3,0.9556
60,50,0.4,0.2,3,5,0.9111
60,50,0.4,0.2,3,7,0.9778
60,50,0.4,0.2,5,3,0.9533
60,50,0.4,0.2,5,5,0.94
60,50,0.4,0.2,5,7,0.94
60,50,0.4,0.2,7,3,0.9286
60,50,0.4,0.2,7,5,0.981
60,50,0.4,0.2,7,7,0.9595
60,50,0.4,0.2,9,3,0.9093
60,50,0.4,0.2,9,5,0.9426
60,50,0.4,0.2,9,7,0.9759
60,50,0.4,0.2,11,3,0.953
60,50,0.4,0.2,11,5,0.9591
60,50,0.4,0.2,11,7,0.9167
60,50,0.4,0.4,3,3,0.9111
60,50,0.4,0.4,3,5,0.9444
60,50,0.4,0.4,3,7,0.9611
60,50,0.4,0.4,5,3,0.95
60,50,0.4,0.4,5,5,0.92
60,50,0.4,0.4,5,7,0.9667
60,50,0.4,0.4,7,3,0.9476
60,50,0.4,0.4,7,5,0.9762
60,50,0.4,0.4,7,7,0.969
60,50,0.4,0.4,9,3,0.0
60,50,0.4,0.4,9,5,0.9444
60,50,0.4,0.4,9,7,0.9611
60,50,0.4,0.4,11,3,0.9288
60,50,0.4,0.4,11,5,0.9606
60,50,0.4,0.4,11,7,0.9439
60,50,0.4,0.6,3,3,0.9778
60,50,0.4,0.6,3,5,0.9667
60,50,0.4,0.6,3,7,0.9444
60,50,0.4,0.6,5,3,0.9367
60,50,0.4,0.6,5,5,0.9367
60,50,0.4,0.6,5,7,0.9467
60,50,0.4,0.6,7,3,0.95
60,50,0.4,0.6,7,5,0.9238
60,50,0.4,0.6,7,7,0.9714
60,50,0.4,0.6,9,3,0.0
60,50,0.4,0.6,9,5,0.9444
60,50,0.4,0.6,9,7,0.9759
60,50,0.4,0.6,11,3,0.0
60,50,0.4,0.6,11,5,0.9485
60,50,0.4,0.6,11,7,0.9606
60,50,0.4,0.8,3,3,0.9389
60,50,0.4,0.8,3,5,0.9722
60,50,0.4,0.8,3,7,0.9722
60,50,0.4,0.8,5,3,0.9733
60,50,0.4,0.8,5,5,0.9467
60,50,0.4,0.8,5,7,0.9633
60,50,0.4,0.8,7,3,0.9
60,50,0.4,0.8,7,5,0.9548
60,50,0.4,0.8,7,7,0.919
60,50,0.4,0.8,9,3,0.9296
60,50,0.4,0.8,9,5,0.0
60,50,0.4,0.8,9,7,0.9426
60,50,0.4,0.8,11,3,0.0
60,50,0.4,0.8,11,5,0.9409
60,50,0.4,0.8,11,7,0.0
60,50,0.6,0.2,3,3,0.9333
60,50,0.6,0.2,3,5,0.9611
60,50,0.6,0.2,3,7,0.9278
60,50,0.6,0.2,5,3,0.88
60,50,0.6,0.2,5,5,0.9233
60,50,0.6,0.2,5,7,0.9633
60,50,0.6,0.2,7,3,0.9024
60,50,0.6,0.2,7,5,0.9262
60,50,0.6,0.2,7,7,0.9595
